//Index	Type	Map	SX	SY	EX	EY	Target	Dir	Level	MaxLevel
284	2	56	62	174	63	179	0	0	400	400
285	1	56	57	176	57	177	273	0	400	400
286	1	2	52	92	54	92	287	0	270	400
287	0	57	222	211	225	212	0	0	270	400
288	1	57	223	215	225	215	289	0	270	400
289	0	2	52	88	54	89	0	0	270	400
290	1	57	171	23	171	25	291	0	270	400
291	0	58	160	24	161	27	0	0	270	400
292	1	58	167	24	167	25	293	0	270	400
293	0	57	174	23	175	25	0	0	270	400
294	0	63	120	129	126	134	0	0	20	400
295	0	64	101	64	0	0	0	0	30	400
296	0	64	101	75	0	0	0	0	30	400
297	0	64	101	113	0	0	0	0	30	400
298	0	64	101	124	0	0	0	0	30	400
299	0	64	154	64	0	0	0	0	30	400
300	0	64	154	75	0	0	0	0	30	400
301	0	64	154	113	0	0	0	0	30	400
302	0	64	154	124	0	0	0	0	30	400
303	0	64	100	70	0	0	0	0	30	400
304	0	64	100	120	0	0	0	0	30	400
305	0	64	150	70	0	0	0	0	30	400
306	0	64	150	120	0	0	0	0	30	400
307	0	69	231	15	233	17	0	0	0	400
308	1	69	209	80	211	82	309	0	0	400
309	0	69	202	24	203	27	0	0	0	400
310	1	69	153	60	155	62	311	0	0	400
311	0	69	179	65	181	67	0	0	0	400
312	0	70	86	63	87	66	0	0	0	400
313	1	70	10	64	12	66	314	0	0	400
314	0	70	35	84	38	85	0	0	0	400
315	1	70	54	161	56	163	316	0	0	400
316	0	70	121	110	123	112	0	0	0	400
317	0	71	154	187	155	189	0	0	0	400
318	1	71	82	194	84	196	319	0	0	400
319	0	71	222	121	224	123	0	0	0	400
320	1	71	222	201	224	203	321	0	0	400
321	0	71	165	206	168	207	0	0	0	400
322	0	72	93	66	94	69	0	0	0	400
323	1	72	30	95	32	97	324	0	0	400
324	0	72	32	162	34	164	0	0	0	400
325	1	72	68	160	70	162	326	0	0	400
326	0	72	145	155	147	157	0	0	0	400
327	1	72	223	165	225	167	328	0	0	400
328	0	72	241	23	243	25	0	0	0	400
329	0	65	193	26	200	32	0	0	0	400
330	0	66	133	68	139	74	0	0	0	400
331	0	67	106	58	111	62	0	0	0	400
332	0	68	90	10	97	17	0	0	0	400
333	0	79	126	142	129	148	0	0	0	400
334	0	37	66	183	74	191	0	0	160	400
335	0	80	124	123	127	125	0	0	170	400
336	1	33	237	167	240	168	337	0	160	400
337	2	80	118	44	119	46	0	3	160	400
338	1	80	116	44	117	47	339	0	160	400
339	2	33	237	166	240	166	0	1	160	400
340	1	80	186	210	190	212	341	0	160	400
341	2	81	162	12	164	14	0	5	160	400
342	1	81	161	8	165	9	343	0	160	400
343	2	80	188	207	189	208	0	1	160	400
344	0	81	162	16	163	17	0	5	160	400
end
